trial,range_top_band_start,range_buy_k,range_buy_floor,range_sell_k,range_sell_cap,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
139,0.45,0.2,0.2,1.5,1.5,5.587106165200974,11.160084347790754,-0.1801047872386006,0.5705585467520659,328.0,5.960060975609756,run\results_lean_taogrid_range_pos_v2_sweep\trial_139
39,0.45,1.6,0.2,0.3,3.0,5.583516855477505,11.258391572891922,-0.18826682304106268,0.5922293815103394,324.0,5.141460905349794,run\results_lean_taogrid_range_pos_v2_sweep\trial_039
114,0.45,0.5,0.9,2.0,4.0,5.5833413768714,10.924134498806202,-0.18826682304106243,0.5928483112209372,329.0,6.565906788247214,run\results_lean_taogrid_range_pos_v2_sweep\trial_114
54,0.45,0.2,0.4,0.3,6.0,5.5819243351786145,12.000852429623087,-0.1882668230410633,0.5923343508480722,309.0,2.431391585760518,run\results_lean_taogrid_range_pos_v2_sweep\trial_054
81,0.45,0.5,0.5,1.0,2.0,5.581625549140899,11.227559779045224,-0.18010478723860113,0.5696483737215411,327.0,5.653109072375127,run\results_lean_taogrid_range_pos_v2_sweep\trial_081
89,0.45,0.5,0.5,1.0,1.2,5.581625549140899,11.227559779045224,-0.18010478723860113,0.5696483737215411,327.0,5.653109072375127,run\results_lean_taogrid_range_pos_v2_sweep\trial_089
75,0.45,0.0,0.9,2.0,3.0,5.580002189812263,10.969817818485017,-0.18010478723860118,0.5700658269451861,329.0,6.642350557244173,run\results_lean_taogrid_range_pos_v2_sweep\trial_075
21,0.45,0.0,0.4,0.7,1.2,5.577981824258287,11.39306907225175,-0.18010478723860118,0.5692626390349865,323.0,3.8360681114551087,run\results_lean_taogrid_range_pos_v2_sweep\trial_021
101,0.45,1.6,0.2,1.0,4.0,5.573914779409457,10.919605316106484,-0.18826682304106304,0.5914038421565248,329.0,6.706433637284702,run\results_lean_taogrid_range_pos_v2_sweep\trial_101
136,0.45,1.2,0.5,0.7,3.0,5.569659115328385,11.161940999577094,-0.18010478723860116,0.5685893749739637,324.0,6.220267489711935,run\results_lean_taogrid_range_pos_v2_sweep\trial_136
7,0.45,1.6,0.4,2.0,1.2,5.539812184759229,10.8333863840432,-0.18826682304106213,0.5886061862820142,329.0,6.888196555217833,run\results_lean_taogrid_range_pos_v2_sweep\trial_007
4,0.45,3.0,0.3,1.0,1.2,5.524408451684679,10.809253831804025,-0.18826682304106285,0.5863517827927566,329.0,6.715349544072949,run\results_lean_taogrid_range_pos_v2_sweep\trial_004
78,0.45,3.0,0.3,1.0,3.0,5.524408451684679,10.809253831804025,-0.18826682304106285,0.5863517827927566,329.0,6.715349544072949,run\results_lean_taogrid_range_pos_v2_sweep\trial_078
121,0.45,3.0,0.7,1.5,1.5,5.502988641543066,10.760908221267934,-0.18826682304106188,0.5846407337684114,334.0,7.670708582834332,run\results_lean_taogrid_range_pos_v2_sweep\trial_121
109,0.45,0.2,0.2,4.0,1.2,5.466661207049089,10.715626474095611,-0.18826682304106143,0.5829709003383212,322.0,7.686801242236025,run\results_lean_taogrid_range_pos_v2_sweep\trial_109
65,0.45,1.2,0.5,3.0,2.0,5.44678199945406,10.917923236113289,-0.188266823041063,0.5812833675067383,324.0,8.135905349794239,run\results_lean_taogrid_range_pos_v2_sweep\trial_065
60,0.45,0.2,0.2,4.0,4.0,5.431261224444367,10.880608333841083,-0.18826682304106204,0.5796628452369839,309.0,7.754422869471414,run\results_lean_taogrid_range_pos_v2_sweep\trial_060
22,0.45,1.2,0.5,4.0,2.5,5.409809636902043,10.833408547657555,-0.18826682304106185,0.5771984520186985,309.0,8.249568500539375,run\results_lean_taogrid_range_pos_v2_sweep\trial_022
118,0.48,3.0,0.2,3.0,4.0,5.351261376375999,10.857821775639144,-0.18463456195150313,0.5617519302960101,322.0,4.315631469979296,run\results_lean_taogrid_range_pos_v2_sweep\trial_118
90,0.48,1.6,0.3,3.0,4.0,5.35075605464451,10.888143349682702,-0.1846345619515033,0.5616464502615517,321.0,4.23956386292835,run\results_lean_taogrid_range_pos_v2_sweep\trial_090
85,0.48,0.0,0.2,2.0,1.2,5.329653232068388,10.9849478113834,-0.18463456195150457,0.5595679950151546,316.0,2.0322257383966247,run\results_lean_taogrid_range_pos_v2_sweep\trial_085
96,0.48,0.8,0.3,1.5,1.5,5.319174534005945,11.305388111982996,-0.18463456195150485,0.558622555867827,313.0,2.0699680511182112,run\results_lean_taogrid_range_pos_v2_sweep\trial_096
29,0.48,1.2,0.9,1.0,4.0,5.30859873150798,11.384239589521691,-0.18463456195150427,0.557745519133166,306.0,1.9103485838779959,run\results_lean_taogrid_range_pos_v2_sweep\trial_029
28,0.48,0.2,0.5,1.0,2.5,5.297677674312452,11.463650410968457,-0.18463456195150563,0.556799736497039,298.0,1.9044183445190157,run\results_lean_taogrid_range_pos_v2_sweep\trial_028
127,0.45,1.2,0.5,0.0,3.0,5.2967350200239425,10.898177377186117,-0.18456990362767645,0.5559813348786359,317.0,2.5266561514195587,run\results_lean_taogrid_range_pos_v2_sweep\trial_127
82,0.48,1.6,0.5,0.7,6.0,5.295498264564626,11.441058915279653,-0.18463456195150418,0.5565564562977793,305.0,1.8902185792349726,run\results_lean_taogrid_range_pos_v2_sweep\trial_082
84,0.48,1.2,0.2,0.7,6.0,5.289917856225712,11.47703354525289,-0.18463456195150474,0.5560994459964754,298.0,1.9044183445190157,run\results_lean_taogrid_range_pos_v2_sweep\trial_084
19,0.48,0.2,0.2,0.7,6.0,5.2747129496206915,11.563992834087747,-0.18463456195150377,0.5549582106696617,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_019
58,0.45,0.5,0.5,0.0,1.5,5.27328404954312,11.466319454262443,-0.18460761916414611,0.5543672140432057,298.0,1.9044183445190157,run\results_lean_taogrid_range_pos_v2_sweep\trial_058
17,0.48,0.0,0.4,0.7,6.0,5.271460365444953,11.58085517913088,-0.18463456195150404,0.5547301846290263,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_017
18,0.48,2.0,0.3,0.3,6.0,5.271162691232716,11.540577934622734,-0.1846345619515037,0.5545558520749957,298.0,1.9044183445190157,run\results_lean_taogrid_range_pos_v2_sweep\trial_018
33,0.48,3.0,0.9,0.0,1.2,5.2628671731008305,11.552700170763856,-0.18463456195150427,0.5538544760910514,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_033
10,0.5,1.6,0.5,4.0,3.0,5.247479141722919,11.8419637363178,-0.18463456195150305,0.5530924030508648,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_010
137,0.5,0.0,0.2,4.0,3.0,5.247479141722919,11.8419637363178,-0.18463456195150305,0.5530924030508648,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_137
40,0.48,0.5,0.2,0.3,3.0,5.245410516695807,11.808517034517308,-0.18463456195150404,0.5528446892960719,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_040
15,0.48,1.6,0.5,0.0,1.2,5.238333149362644,11.812461528652776,-0.18463456195150363,0.5522562294378062,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_015
59,0.5,1.6,0.9,3.0,2.5,5.2376871398035165,11.865482649412538,-0.18463456195150393,0.5524278437954816,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_059
77,0.5,0.0,0.5,3.0,1.2,5.2376871398035165,11.865482649412538,-0.18463456195150393,0.5524278437954816,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_077
94,0.5,0.2,0.4,3.0,1.2,5.2376871398035165,11.865482649412538,-0.18463456195150393,0.5524278437954816,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_094
105,0.5,1.2,0.5,3.0,3.0,5.2376871398035165,11.865482649412538,-0.18463456195150393,0.5524278437954816,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_105
115,0.45,0.2,0.3,0.0,1.5,5.236176105641799,11.809083217950036,-0.18462378452468597,0.5520042996015854,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_115
107,0.48,0.0,0.2,0.3,2.0,5.235980702912875,11.847054364363345,-0.18463456195150424,0.5522752225284349,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_107
12,0.5,0.5,0.3,2.0,2.0,5.2275585518853545,11.88809459521162,-0.18463456195150327,0.551763270941868,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_012
76,0.5,2.0,0.4,2.0,4.0,5.2275585518853545,11.88809459521162,-0.18463456195150327,0.551763270941868,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_076
102,0.5,3.0,0.2,1.5,6.0,5.222369654316499,11.89905573703145,-0.18463456195150504,0.5514309794159024,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_102
104,0.5,2.0,0.5,1.5,2.0,5.222369654316499,11.89905573703145,-0.18463456195150504,0.5514309794159024,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_104
123,0.5,2.0,0.4,1.5,6.0,5.222369654316499,11.89905573703145,-0.18463456195150504,0.5514309794159024,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_123
9,0.5,0.8,0.5,1.0,3.0,5.217098575174844,11.909784554315033,-0.18463456195150446,0.5510986844906129,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_009
116,0.5,3.0,0.4,1.0,6.0,5.217098575174844,11.909784554315033,-0.18463456195150446,0.5510986844906129,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_116
119,0.5,1.2,0.3,1.0,2.5,5.217098575174844,11.909784554315033,-0.18463456195150446,0.5510986844906129,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_119
131,0.5,0.0,0.4,1.0,2.0,5.217098575174844,11.909784554315033,-0.18463456195150446,0.5510986844906129,298.0,1.873881431767338,run\results_lean_taogrid_range_pos_v2_sweep\trial_131
20,0.5,0.0,0.5,0.7,2.5,5.213896763365313,11.916109588086561,-0.1846345619515039,0.5508993059038069,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_020
37,0.5,0.2,0.2,0.7,1.5,5.213896763365313,11.916109588086561,-0.1846345619515039,0.5508993059038069,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_037
130,0.5,1.2,0.7,0.7,1.5,5.213896763365313,11.916109588086561,-0.1846345619515039,0.5508993059038069,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_130
1,0.5,2.0,0.5,0.3,6.0,5.209582298425642,11.924411218567746,-0.18463456195150374,0.5506334658845037,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_001
0,0.55,0.0,0.5,2.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_000
2,0.65,1.6,0.9,0.7,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_002
3,0.65,1.6,0.5,0.3,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_003
5,0.52,3.0,0.9,0.3,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_005
6,0.55,0.8,0.5,4.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_006
8,0.6,0.0,0.5,3.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_008
11,0.65,1.2,0.4,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_011
13,0.6,1.6,0.4,1.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_013
14,0.7,1.6,0.9,2.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_014
16,0.6,0.0,0.2,4.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_016
23,0.65,2.0,0.7,3.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_023
24,0.52,0.0,0.5,1.5,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_024
25,0.65,0.2,0.9,4.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_025
26,0.65,0.5,0.3,0.7,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_026
27,0.55,2.0,0.4,0.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_027
30,0.65,3.0,0.2,2.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_030
31,0.52,3.0,0.2,4.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_031
32,0.55,2.0,0.3,2.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_032
34,0.55,0.8,0.4,4.0,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_034
35,0.6,0.5,0.2,3.0,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_035
36,0.5,1.6,0.9,0.0,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_036
38,0.52,0.2,0.3,0.7,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_038
41,0.7,1.6,0.9,1.5,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_041
42,0.52,3.0,0.3,3.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_042
43,0.7,2.0,0.5,0.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_043
44,0.6,0.5,0.7,4.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_044
45,0.5,1.6,0.2,0.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_045
46,0.6,1.6,0.7,0.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_046
47,0.5,3.0,0.2,0.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_047
48,0.7,0.5,0.5,0.7,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_048
49,0.65,2.0,0.9,1.5,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_049
50,0.7,1.6,0.4,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_050
51,0.65,0.0,0.2,2.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_051
52,0.65,0.2,0.2,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_052
53,0.65,0.8,0.2,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_053
55,0.65,1.2,0.5,1.5,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_055
56,0.55,1.2,0.9,1.5,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_056
57,0.55,1.2,0.7,0.3,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_057
61,0.7,2.0,0.5,0.7,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_061
62,0.65,1.6,0.9,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_062
63,0.65,1.2,0.4,4.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_063
64,0.52,3.0,0.2,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_064
66,0.52,2.0,0.3,4.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_066
67,0.6,3.0,0.4,0.3,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_067
68,0.52,0.2,0.3,1.5,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_068
69,0.52,0.0,0.7,0.3,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_069
70,0.65,0.5,0.7,3.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_070
71,0.52,1.6,0.9,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_071
72,0.7,0.0,0.9,0.3,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_072
73,0.55,0.5,0.7,1.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_073
74,0.6,0.5,0.4,1.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_074
79,0.65,0.0,0.3,3.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_079
80,0.52,1.2,0.5,4.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_080
83,0.7,1.2,0.3,3.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_083
86,0.65,1.2,0.4,4.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_086
87,0.52,3.0,0.3,3.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_087
88,0.7,2.0,0.9,3.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_088
91,0.55,0.2,0.5,0.3,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_091
92,0.7,1.2,0.2,2.0,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_092
93,0.65,0.0,0.4,1.5,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_093
95,0.52,3.0,0.2,3.0,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_095
97,0.7,2.0,0.3,1.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_097
98,0.6,0.2,0.7,3.0,6.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_098
99,0.65,1.6,0.5,0.3,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_099
100,0.55,1.6,0.7,4.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_100
103,0.55,3.0,0.4,2.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_103
106,0.55,0.5,0.4,0.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_106
110,0.65,0.8,0.9,2.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_110
111,0.7,3.0,0.7,2.0,3.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_111
112,0.7,1.2,0.7,1.5,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_112
113,0.52,0.8,0.4,3.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_113
117,0.6,1.6,0.5,1.0,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_117
120,0.52,0.2,0.3,0.3,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_120
122,0.6,2.0,0.4,1.5,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_122
124,0.6,1.6,0.2,0.0,1.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_124
125,0.7,0.8,0.3,0.3,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_125
126,0.65,0.5,0.4,1.5,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_126
128,0.7,0.0,0.4,1.5,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_128
129,0.6,0.2,0.4,0.3,1.2,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_129
132,0.52,2.0,0.4,1.0,2.5,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_132
133,0.6,1.6,0.7,0.0,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_133
134,0.65,1.2,0.7,0.7,2.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_134
135,0.7,0.0,0.2,0.7,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_135
138,0.6,3.0,0.3,0.7,4.0,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_range_pos_v2_sweep\trial_138
