Time, support_guard , resistance_guard , atr_guard ,
10/25/2025 21:00,,, 79 ,
10/25/2025 21:15,,, 87 ,
10/25/2025 21:30,,, 83 ,
10/25/2025 21:45,,, 98 ,
10/25/2025 22:00,,, 92 ,
10/25/2025 22:15,,, 95 ,
10/25/2025 22:30,,, 97 ,
10/25/2025 22:45,,, 96 ,
10/25/2025 23:00,,, 99 ,
10/25/2025 23:15,,, 99 ,
10/25/2025 23:30,,, 100 ,
10/25/2025 23:45,,, 104 ,
10/26/2025 0:00,,, 103 ,
10/26/2025 0:15,,, 110 ,
10/26/2025 0:30,,, 112 ,
10/26/2025 0:45,,, 121 ,
10/26/2025 1:00,,, 122 ,
10/26/2025 1:15,,, 121 ,
10/26/2025 1:30,,, 120 ,
10/26/2025 1:45,,, 128 ,
10/26/2025 2:00,,, 130 ,
10/26/2025 2:15,,, 130 ,
10/26/2025 2:30,,, 130 ,
10/26/2025 2:45,,, 132 ,
10/26/2025 3:00,,, 130 ,
10/26/2025 3:15,,, 129 ,
10/26/2025 3:30,,, 132 ,
10/26/2025 3:45,,, 130 ,
10/26/2025 4:00,,, 129 ,
10/26/2025 4:15,,, 129 ,
10/26/2025 4:30,,, 126 ,
10/26/2025 4:45,,, 124 ,
10/26/2025 5:00,,, 124 ,
10/26/2025 5:15,,, 122 ,
10/26/2025 5:30,,, 122 ,
10/26/2025 5:45,,, 121 ,
10/26/2025 6:00,,, 119 ,
10/26/2025 6:15,,, 118 ,
10/26/2025 6:30,,, 117 ,
10/26/2025 6:45,,, 116 ,
10/26/2025 7:00,,, 116 ,
10/26/2025 7:15,,, 114 ,
10/26/2025 7:30,,, 113 ,
10/26/2025 7:45,,, 112 ,
10/26/2025 8:00,,, 112 ,
10/26/2025 8:15,,, 111 ,
10/26/2025 8:30,,, 110 ,
10/26/2025 8:45," 111,266 ",, 110 ,
10/26/2025 9:00," 111,266 ",, 109 ,
10/26/2025 9:15," 111,266 ",, 128 ,
10/26/2025 9:30," 111,266 ",, 137 ,
10/26/2025 9:45," 111,266 ",, 141 ,
10/26/2025 10:00," 111,266 ",, 144 ,
10/26/2025 10:15," 111,266 ",, 143 ,
10/26/2025 10:30," 111,266 ",, 145 ,
10/26/2025 10:45," 111,266 ",, 144 ,
10/26/2025 11:00," 111,266 ",, 145 ,
10/26/2025 11:15," 111,266 ",, 147 ,
10/26/2025 11:30," 111,266 ",, 156 ,
10/26/2025 11:45," 111,266 ",, 160 ,
10/26/2025 12:00," 111,266 ",, 167 ,
10/26/2025 12:15," 111,266 ",, 169 ,
10/26/2025 12:30," 111,266 ",, 171 ,
10/26/2025 12:45," 111,266 ",, 173 ,
10/26/2025 13:00," 111,266 ",, 175 ,
10/26/2025 13:15," 111,266 ",, 179 ,
10/26/2025 13:30," 111,266 ",, 184 ,
10/26/2025 13:45," 111,266 ",, 188 ,
10/26/2025 14:00," 111,266 ",, 188 ,
10/26/2025 14:15," 111,266 ",, 189 ,
10/26/2025 14:30," 111,266 ",, 190 ,
10/26/2025 14:45," 111,266 ",, 192 ,
10/26/2025 15:00," 111,266 ",, 192 ,
10/26/2025 15:15," 111,266 ",, 192 ,
10/26/2025 15:30," 111,266 ",, 192 ,
10/26/2025 15:45," 111,266 ",, 193 ,
10/26/2025 16:00," 111,266 ",, 194 ,
10/26/2025 16:15," 111,266 ",, 194 ,
10/26/2025 16:30," 111,266 ",, 196 ,
10/26/2025 16:45," 111,266 ",, 196 ,
10/26/2025 17:00," 111,266 ",, 197 ,
10/26/2025 17:15," 111,266 ",, 196 ,
10/26/2025 17:30," 111,266 ",, 195 ,
10/26/2025 17:45," 111,266 ",, 195 ,
10/26/2025 18:00," 111,266 ",, 195 ,
10/26/2025 18:15," 111,266 ",, 194 ,
10/26/2025 18:30," 111,266 ",, 195 ,
10/26/2025 18:45," 111,266 ",, 195 ,
10/26/2025 19:00," 111,266 ",, 194 ,
10/26/2025 19:15," 111,266 ",, 194 ,
10/26/2025 19:30," 111,266 "," 113,866 ", 193 ,????????resistance????????????????113866???112666????113866+1xATR(200)
10/26/2025 19:45," 111,266 "," 113,866 ", 192 ,
10/26/2025 20:00," 111,266 "," 113,866 ", 191 ,
10/26/2025 20:15," 111,266 "," 113,866 ", 191 ,
10/26/2025 20:30," 111,266 "," 113,866 ", 190 ,
10/26/2025 20:45," 111,266 "," 113,866 ", 190 ,
10/26/2025 21:00," 111,266 "," 113,866 ", 190 ,
10/26/2025 21:15," 111,266 "," 113,866 ", 193 ,
10/26/2025 21:30," 111,266 "," 113,866 ", 197 ,
10/26/2025 21:45," 111,266 "," 113,866 ", 197 ,
10/26/2025 22:00," 111,266 ",, 215 ,??????????
10/26/2025 22:15," 111,266 ",, 218 ,
10/26/2025 22:30," 111,266 ",, 219 ,
10/26/2025 22:45," 111,266 ",, 219 ,
10/26/2025 23:00," 111,266 ",, 222 ,
10/26/2025 23:15," 111,266 ",, 222 ,
10/26/2025 23:30," 111,266 ",, 223 ,
10/26/2025 23:45," 111,266 ",, 224 ,
10/27/2025 0:00," 111,266 ",, 227 ,
10/27/2025 0:15," 111,266 ",, 228 ,
10/27/2025 0:30," 111,266 ",, 229 ,
10/27/2025 0:45," 111,266 ",, 229 ,
10/27/2025 1:00," 111,266 ",, 230 ,
10/27/2025 1:15," 111,266 ",, 231 ,
10/27/2025 1:30," 111,266 ",, 231 ,
10/27/2025 1:45," 111,266 ",, 231 ,
10/27/2025 2:00," 111,266 ",, 231 ,
10/27/2025 2:15," 113,064 ",, 232 ,
10/27/2025 2:30," 113,064 ",, 232 ,
10/27/2025 2:45," 113,064 ",, 232 ,
10/27/2025 3:00," 113,064 ",, 233 ,
10/27/2025 3:15," 113,064 ",, 233 ,
10/27/2025 3:30," 113,064 ",, 233 ,
10/27/2025 3:45," 113,064 ",, 232 ,
10/27/2025 4:00," 113,064 ",, 232 ,
10/27/2025 4:15," 113,064 ",, 231 ,
10/27/2025 4:30," 113,064 ",, 230 ,
10/27/2025 4:45," 113,064 ",, 229 ,
10/27/2025 5:00," 113,064 ",, 229 ,
10/27/2025 5:15," 113,064 ",, 229 ,
10/27/2025 5:30," 113,064 ",, 229 ,
10/27/2025 5:45," 113,064 ",, 228 ,
10/27/2025 6:00," 113,064 ",, 228 ,
10/27/2025 6:15," 113,064 ",, 228 ,
10/27/2025 6:30," 113,064 ",, 229 ,
10/27/2025 6:45," 113,064 ",, 231 ,
10/27/2025 7:00," 113,064 ",, 233 ,
10/27/2025 7:15," 113,064 ",, 233 ,
10/27/2025 7:30," 113,064 ",, 234 ,
10/27/2025 7:45," 113,064 ",, 234 ,
10/27/2025 8:00," 113,064 ",, 234 ,
10/27/2025 8:15," 113,064 ",, 235 ,
10/27/2025 8:30," 113,064 ",, 236 ,
10/27/2025 8:45," 113,064 ",, 236 ,
10/27/2025 9:00," 113,064 ",, 237 ,
10/27/2025 9:15," 113,064 ",, 238 ,
10/27/2025 9:30," 113,064 ",, 238 ,
10/27/2025 9:45," 113,064 ",, 237 ,
10/27/2025 10:00," 113,064 ",, 238 ,
10/27/2025 10:15," 113,064 ",, 238 ,
10/27/2025 10:30," 113,064 ",, 237 ,
10/27/2025 10:45," 113,064 ",, 236 ,
10/27/2025 11:00," 113,064 ",, 235 ,
10/27/2025 11:15," 113,064 ",, 236 ,
10/27/2025 11:30," 113,064 ",, 236 ,
10/27/2025 11:45," 113,064 "," 116,044 ", 236 ,"???,???????????????????????113064-116044????116044+1ATR(200)"
10/27/2025 12:00," 113,064 "," 116,044 ", 236 ,
10/27/2025 12:15," 113,064 "," 116,044 ", 235 ,
10/27/2025 12:30," 113,064 "," 116,044 ", 236 ,
10/27/2025 12:45," 113,064 "," 116,044 ", 235 ,
10/27/2025 13:00," 113,064 "," 116,044 ", 235 ,
10/27/2025 13:15," 113,064 "," 116,044 ", 234 ,
10/27/2025 13:30," 113,064 "," 116,044 ", 237 ,
10/27/2025 13:45," 113,064 "," 116,044 ", 240 ,
10/27/2025 14:00," 113,064 "," 116,044 ", 242 ,
10/27/2025 14:15," 113,064 "," 116,044 ", 244 ,
10/27/2025 14:30," 113,064 "," 116,044 ", 244 ,
10/27/2025 14:45," 113,064 "," 116,044 ", 244 ,
10/27/2025 15:00," 113,064 "," 116,044 ", 244 ,
10/27/2025 15:15," 113,064 "," 116,044 ", 244 ,
10/27/2025 15:30," 113,064 "," 116,044 ", 244 ,
10/27/2025 15:45," 113,064 "," 116,044 ", 244 ,
10/27/2025 16:00," 113,064 "," 116,044 ", 245 ,
10/27/2025 16:15," 113,064 "," 116,044 ", 245 ,
10/27/2025 16:30," 113,064 "," 116,044 ", 245 ,
10/27/2025 16:45," 113,064 "," 116,044 ", 246 ,
10/27/2025 17:00," 113,064 "," 116,044 ", 245 ,
10/27/2025 17:15," 113,064 "," 116,044 ", 245 ,
10/27/2025 17:30," 113,064 "," 116,044 ", 246 ,
10/27/2025 17:45," 113,064 "," 116,044 ", 246 ,
10/27/2025 18:00," 113,064 "," 116,044 ", 246 ,
10/27/2025 18:15," 113,064 "," 116,044 ", 247 ,
10/27/2025 18:30," 113,064 "," 116,044 ", 247 ,
10/27/2025 18:45," 113,064 "," 116,044 ", 246 ,
10/27/2025 19:00," 113,064 "," 116,044 ", 247 ,
10/27/2025 19:15," 113,064 "," 116,044 ", 248 ,
10/27/2025 19:30," 113,064 "," 116,044 ", 248 ,
10/27/2025 19:45," 114,800 "," 116,044 ", 248 ,
10/27/2025 20:00," 113,064 "," 116,044 ", 248 ,
10/27/2025 20:15," 113,064 "," 116,044 ", 247 ,
10/27/2025 20:30," 113,064 "," 116,044 ", 246 ,
10/27/2025 20:45," 113,064 "," 116,044 ", 247 ,
10/27/2025 21:00," 113,064 "," 116,044 ", 247 ,
10/27/2025 21:15," 113,064 "," 116,044 ", 247 ,
10/27/2025 21:30," 113,064 "," 116,044 ", 247 ,
10/27/2025 21:45," 113,064 "," 116,044 ", 248 ,
10/27/2025 22:00," 113,064 "," 116,044 ", 248 ,
10/27/2025 22:15," 113,064 "," 116,044 ", 248 ,
10/27/2025 22:30," 113,064 "," 116,044 ", 248 ,
10/27/2025 22:45," 113,064 "," 116,044 ", 248 ,
10/27/2025 23:00," 113,064 "," 115,745 ", 248 ,???????????????????????????????
10/27/2025 23:15," 113,064 "," 115,745 ", 249 ,
10/27/2025 23:30," 113,064 "," 115,745 ", 249 ,
10/27/2025 23:45," 113,064 "," 115,745 ", 249 ,
10/28/2025 0:00," 113,064 "," 115,745 ", 250 ,
10/28/2025 0:15," 113,064 "," 115,745 ", 251 ,
10/28/2025 0:30," 113,064 "," 115,745 ", 252 ,
10/28/2025 0:45," 113,064 "," 115,745 ", 253 ,
10/28/2025 1:00," 113,064 "," 115,745 ", 254 ,
10/28/2025 1:15," 113,064 "," 115,745 ", 254 ,
10/28/2025 1:30," 113,064 "," 115,745 ", 255 ,
10/28/2025 1:45," 113,064 "," 115,745 ", 255 ,
10/28/2025 2:00," 113,064 "," 115,745 ", 257 ,
10/28/2025 2:15," 113,064 "," 115,745 ", 257 ,
10/28/2025 2:30," 113,064 "," 115,745 ", 257 ,
10/28/2025 2:45," 113,064 "," 115,745 ", 258 ,
10/28/2025 3:00," 113,064 "," 113,866 ", 260 ,
10/28/2025 3:15," 113,064 "," 115,745 ", 260 ,
10/28/2025 3:30," 113,064 "," 113,866 ", 261 ,
10/28/2025 3:45," 113,064 "," 115,745 ", 260 ,
10/28/2025 4:00," 113,064 "," 115,745 ", 261 ,
10/28/2025 4:15," 113,064 "," 115,745 ", 261 ,
10/28/2025 4:30," 113,064 "," 115,745 ", 261 ,
10/28/2025 4:45," 113,064 "," 115,745 ", 261 ,
10/28/2025 5:00," 113,064 "," 113,866 ", 261 ,
10/28/2025 5:15," 113,064 "," 115,745 ", 262 ,
10/28/2025 5:30," 113,064 "," 113,866 ", 262 ,
10/28/2025 5:45," 113,064 "," 113,866 ", 263 ,
10/28/2025 6:00," 113,064 "," 113,866 ", 264 ,
10/28/2025 6:15," 113,064 "," 113,866 ", 264 ,
10/28/2025 6:30," 113,064 "," 115,745 ", 265 ,
10/28/2025 6:45," 113,064 "," 115,745 ", 266 ,
10/28/2025 7:00," 113,064 "," 115,745 ", 266 ,
10/28/2025 7:15," 113,064 "," 115,745 ", 267 ,
10/28/2025 7:30," 113,064 "," 115,745 ", 267 ,
10/28/2025 7:45," 113,064 "," 115,745 ", 268 ,
10/28/2025 8:00," 113,064 "," 115,745 ", 268 ,
10/28/2025 8:15," 113,064 "," 115,745 ", 270 ,
10/28/2025 8:30," 113,064 "," 115,745 ", 270 ,
10/28/2025 8:45," 113,064 "," 115,745 ", 270 ,
10/28/2025 9:00," 113,064 "," 115,745 ", 271 ,
10/28/2025 9:15," 113,064 "," 115,745 ", 272 ,
10/28/2025 9:30," 113,064 "," 115,745 ", 273 ,
10/28/2025 9:45," 113,064 "," 115,745 ", 274 ,
10/28/2025 10:00," 113,064 "," 115,745 ", 273 ,
10/28/2025 10:15," 113,064 "," 115,745 ", 274 ,
10/28/2025 10:30," 113,064 "," 115,745 ", 274 ,
10/28/2025 10:45," 113,612 "," 115,745 ", 274 ,?????????
10/28/2025 11:00," 113,612 "," 115,745 ", 274 ,
10/28/2025 11:15," 113,612 "," 115,745 ", 269 ,
10/28/2025 11:30," 113,612 "," 115,745 ", 268 ,
10/28/2025 11:45," 113,612 "," 115,745 ", 267 ,
10/28/2025 12:00," 113,612 "," 115,745 ", 266 ,
10/28/2025 12:15," 113,612 "," 115,745 ", 267 ,
10/28/2025 12:30," 113,612 "," 115,745 ", 266 ,
10/28/2025 12:45," 113,612 "," 115,745 ", 266 ,
10/28/2025 13:00," 113,612 "," 115,745 ", 268 ,
10/28/2025 13:15," 114,800 "," 115,745 ", 268 ,
10/28/2025 13:30," 114,800 "," 115,745 ", 267 ,
10/28/2025 13:45," 114,800 "," 115,745 ", 267 ,
10/28/2025 14:00," 114,800 "," 116,044 ", 267 ,
10/28/2025 14:15," 114,800 "," 116,044 ", 267 ,
10/28/2025 14:30," 113,612 "," 115,745 ", 272 ,
10/28/2025 14:45," 114,800 "," 115,745 ", 276 ,
10/28/2025 15:00," 114,800 "," 115,745 ", 276 ,
10/28/2025 15:15," 114,800 "," 115,745 ", 275 ,
10/28/2025 15:30," 113,612 "," 115,745 ", 276 ,
10/28/2025 15:45," 113,612 "," 115,745 ", 275 ,
10/28/2025 16:00," 114,800 "," 115,745 ", 276 ,
10/28/2025 16:15," 114,800 "," 115,745 ", 277 ,
10/28/2025 16:30," 114,800 "," 115,745 ", 278 ,
10/28/2025 16:45," 114,800 "," 115,745 ", 278 ,
10/28/2025 17:00," 114,800 "," 115,745 ", 279 ,
10/28/2025 17:15," 114,800 "," 115,745 ", 279 ,
10/28/2025 17:30," 114,800 "," 115,745 ", 280 ,
10/28/2025 17:45," 114,800 "," 115,745 ", 280 ,
10/28/2025 18:00," 114,800 "," 115,745 ", 279 ,
10/28/2025 18:15," 114,800 "," 115,745 ", 281 ,
10/28/2025 18:30," 113,612 "," 115,745 ", 281 ,
10/28/2025 18:45," 114,800 "," 115,745 ", 282 ,
10/28/2025 19:00," 114,800 "," 115,745 ", 282 ,
10/28/2025 19:15," 113,612 "," 113,866 ", 287 ,
10/28/2025 19:30," 113,612 "," 115,745 ", 289 ,
10/28/2025 19:45," 113,612 "," 113,866 ", 290 ,
10/28/2025 20:00," 111,266 "," 113,866 ", 294 ,????????????????????113612-1ATR(200))????????????
10/28/2025 20:15," 111,266 "," 113,866 ", 296 ,
10/28/2025 20:30," 111,266 "," 113,866 ", 298 ,
10/28/2025 20:45," 111,266 "," 113,866 ", 299 ,
10/28/2025 21:00," 111,266 "," 113,866 ", 301 ,
10/28/2025 21:15," 111,266 "," 113,866 ", 301 ,
10/28/2025 21:30," 113,064 "," 113,866 ", 303 ,
10/28/2025 21:45," 111,266 "," 113,866 ", 304 ,
10/28/2025 22:00," 111,266 "," 113,866 ", 305 ,
10/28/2025 22:15," 113,064 "," 113,866 ", 306 ,
10/28/2025 22:30," 113,064 "," 113,866 ", 306 ,
10/28/2025 22:45," 113,064 "," 113,866 ", 306 ,
10/28/2025 23:00," 111,266 "," 113,866 ", 306 ,
10/28/2025 23:15," 111,266 "," 113,866 ", 306 ,
10/28/2025 23:30," 111,266 "," 113,866 ", 304 ,
10/28/2025 23:45," 111,266 "," 113,866 ", 304 ,
10/29/2025 0:00," 111,266 "," 113,866 ", 294 ,
10/29/2025 0:15," 111,266 "," 113,866 ", 293 ,
10/29/2025 0:30," 111,266 "," 113,866 ", 292 ,
10/29/2025 0:45," 111,266 "," 113,866 ", 292 ,
10/29/2025 1:00," 111,266 "," 113,866 ", 291 ,
10/29/2025 1:15," 111,266 "," 113,866 ", 292 ,
10/29/2025 1:30," 111,266 "," 113,866 ", 294 ,
10/29/2025 1:45," 111,266 "," 113,866 ", 294 ,
10/29/2025 2:00," 111,266 "," 113,866 ", 292 ,
10/29/2025 2:15," 111,266 "," 113,866 ", 293 ,
10/29/2025 2:30," 111,266 "," 113,866 ", 291 ,
10/29/2025 2:45," 111,266 "," 113,866 ", 291 ,
10/29/2025 3:00," 111,266 "," 113,866 ", 291 ,
10/29/2025 3:15," 111,266 "," 113,866 ", 291 ,
10/29/2025 3:30," 111,266 "," 113,866 ", 290 ,
10/29/2025 3:45," 111,266 "," 113,866 ", 289 ,
10/29/2025 4:00," 111,266 "," 113,866 ", 289 ,
10/29/2025 4:15," 111,266 "," 113,866 ", 288 ,
10/29/2025 4:30," 111,266 "," 113,866 ", 288 ,
10/29/2025 4:45," 111,266 "," 113,866 ", 288 ,
10/29/2025 5:00," 111,266 "," 113,866 ", 287 ,
10/29/2025 5:15," 111,266 "," 113,866 ", 286 ,
10/29/2025 5:30," 113,064 "," 113,866 ", 288 ,
10/29/2025 5:45," 111,266 "," 113,866 ", 288 ,
10/29/2025 6:00," 113,064 "," 113,866 ", 288 ,
10/29/2025 6:15," 112,202 "," 113,866 ", 288 ,
10/29/2025 6:30," 112,202 "," 113,866 ", 288 ,
10/29/2025 6:45," 113,064 "," 113,866 ", 289 ,
10/29/2025 7:00," 113,064 "," 113,866 ", 289 ,
10/29/2025 7:15," 113,064 "," 113,866 ", 289 ,
10/29/2025 7:30," 113,064 "," 113,866 ", 289 ,
10/29/2025 7:45," 113,064 "," 113,866 ", 290 ,
10/29/2025 8:00," 113,064 "," 113,866 ", 290 ,
10/29/2025 8:15," 113,064 "," 113,866 ", 290 ,
10/29/2025 8:30," 113,064 "," 113,866 ", 290 ,
10/29/2025 8:45," 112,202 "," 113,866 ", 289 ,
10/29/2025 9:00," 112,202 "," 113,866 ", 287 ,
10/29/2025 9:15," 112,202 "," 113,866 ", 287 ,
10/29/2025 9:30," 112,202 "," 113,866 ", 286 ,
10/29/2025 9:45," 112,202 "," 113,866 ", 286 ,
10/29/2025 10:00," 112,202 "," 113,866 ", 286 ,
10/29/2025 10:15," 112,202 "," 113,866 ", 285 ,
10/29/2025 10:30," 112,202 "," 113,866 ", 284 ,
10/29/2025 10:45," 112,202 "," 113,866 ", 284 ,
10/29/2025 11:00," 112,202 "," 113,866 ", 285 ,
10/29/2025 11:15," 113,064 "," 113,866 ", 284 ,
10/29/2025 11:30," 112,202 "," 113,866 ", 284 ,
10/29/2025 11:45," 113,064 "," 113,866 ", 283 ,
10/29/2025 12:00," 113,064 "," 113,866 ", 283 ,
10/29/2025 12:15," 113,064 "," 113,866 ", 283 ,
10/29/2025 12:30," 113,064 "," 113,866 ", 283 ,
10/29/2025 12:45," 113,064 "," 113,560 ", 283 ,
10/29/2025 13:00," 113,064 "," 113,560 ", 284 ,
10/29/2025 13:15," 113,064 "," 113,560 ", 284 ,
10/29/2025 13:30," 112,202 "," 113,560 ", 286 ,
10/29/2025 13:45," 112,202 "," 113,560 ", 287 ,
10/29/2025 14:00," 112,202 "," 113,560 ", 288 ,
10/29/2025 14:15," 112,202 "," 113,560 ", 290 ,
10/29/2025 14:30," 112,202 "," 113,560 ", 290 ,
10/29/2025 14:45," 112,202 "," 113,560 ", 292 ,
10/29/2025 15:00," 112,202 "," 113,560 ", 293 ,
10/29/2025 15:15," 111,266 "," 113,560 ", 294 ,
10/29/2025 15:30," 111,266 "," 113,560 ", 293 ,
10/29/2025 15:45," 111,266 "," 113,560 ", 293 ,
10/29/2025 16:00,," 113,560 ", 292 ,
10/29/2025 16:15,," 113,560 ", 291 ,
10/29/2025 16:30," 111,266 "," 113,560 ", 292 ,
10/29/2025 16:45,," 113,560 ", 292 ,
10/29/2025 17:00,," 113,560 ", 292 ,
10/29/2025 17:15,," 113,560 ", 292 ,
10/29/2025 17:30," 111,266 "," 113,560 ", 294 ,
10/29/2025 17:45," 111,266 "," 113,560 ", 294 ,
10/29/2025 18:00,," 113,560 ", 296 ,
10/29/2025 18:15," 111,266 "," 113,546 ", 297 ,
10/29/2025 18:30,," 113,546 ", 309 ,
10/29/2025 18:45,," 113,546 ", 316 ,
